train_batch,test_batch,mmd_score,mean_regret,median_regret,max_regret,num_queries,same_batch
7,18,0.023647405207157135,3.875293372612053,1.4420194404217557,45.93670886075949,100,False
7,19,0.02118581533432007,17.8945730027346,1.2746921571103886,1421.872549019608,100,False
7,20,0.01585250347852707,19.161762861825135,1.2918180363544798,1528.6176470588234,100,False
7,21,0.01579316332936287,16.0183731269047,1.2724058918098895,1007.8993591944156,100,False
7,22,0.027220409363508224,119.71672345254356,1.2070775715938256,8186.681159420289,100,False
7,23,0.03449636697769165,8.57293965094231,1.2847613221606842,118.94894102545817,39,False
8,0,0.028086252510547638,55.23533658145323,1.444517725682864,2492.929906542056,100,False
8,1,0.01834377646446228,23.30929171680088,1.1912565548306642,1240.1263157894737,100,False
8,2,0.047435514628887177,14.506919152043213,1.4138188390274395,596.6626506024096,100,False
8,3,0.037579767405986786,40.83180886226539,1.2519633901303147,3142.0909090909095,100,False
8,4,0.01769569143652916,126.02041673742063,1.3208001563494918,12250.139240506329,100,False
8,5,0.021214477717876434,22.756020188675187,1.336259329361217,2016.9146341463413,100,False
8,6,0.012684455141425133,43.865985917716074,1.4653333805711046,2613.0149253731342,100,False
8,7,0.028287719935178757,21.703030123601188,1.3410630039642149,1150.1842105263158,100,False
8,8,0.0,1.3532117461526312,1.1643891903346788,3.8551724137931043,100,True
8,9,0.023768384009599686,22.60476923297515,1.2950662620086812,947.2083333333334,100,False
8,10,0.021102508530020714,38.76279136549149,1.387674974393991,1960.0471698113206,100,False
8,11,0.019748970866203308,20.55803158142804,1.5043165241090126,1076.0727272727272,100,False
8,12,0.018957585096359253,64.64600195099482,1.3382649639357298,2719.791044776119,100,False
8,13,0.0227066520601511,37.14772951954604,1.4045682510863648,2823.0750436300177,100,False
8,14,0.022119376808404922,10.4125933665177,1.4689551941006336,325.4096385542168,100,False
8,15,0.02594589628279209,322.91851879622766,1.39576058491786,31585.626436781615,100,False
8,16,0.03149467706680298,2.193157978566151,1.2260594590062017,30.024875621890548,100,False
8,17,0.012768646702170372,11.86011962806336,1.256554099084524,510.85555555555555,100,False
8,18,0.018034592270851135,5.198908379405904,1.3551390901507068,153.38317757009347,100,False
8,19,0.03233202174305916,235.25393818719195,1.2474923766635029,22986.911764705885,100,False
8,20,0.025889581069350243,3.4484859666170227,1.337445736765856,32.2768534133613,100,False
8,21,0.015498796477913857,11.775593188935261,1.2635506803201915,644.7012987012987,100,False
8,22,0.017864558845758438,154.04867208127686,1.217554368960831,12324.666666666666,100,False
8,23,0.03721257299184799,2.025117278825269,1.2976588628762542,9.06480245038677,39,False
9,0,0.033950384706258774,6.167883921626555,1.271514806965214,184.70245139475907,100,False
9,1,0.012784518301486969,44.62880425540684,1.3509570580313288,2957.488406881077,100,False
9,2,0.024803943932056427,20.040688257060623,1.3641057472224791,706.5,100,False
9,3,0.018309712409973145,15.412489392689142,1.2823901594762683,600.6931818181819,100,False
9,4,0.01613248698413372,127.31783952966714,1.3783779430260052,12250.139240506329,100,False
9,5,0.019793279469013214,35.563122558359844,1.1877339268960057,2991.2,100,False
9,6,0.017686238512396812,4.959118814424575,1.2827542695243173,248.92809899722639,100,False
9,7,0.016291543841362,3.656655445414005,1.3176302545138157,117.95747679045093,100,False
9,8,0.017709510400891304,2.7064822865305094,1.3367636045049247,39.72543554006968,100,False
9,9,0.0,1.4299305414520007,1.1871035771239398,3.7249030851235663,100,True
9,10,0.015484070405364037,218.26966194766072,1.3771400993064438,18985.87603305785,100,False
9,11,0.01589030958712101,26.053670204010015,1.484622813323178,1586.3636363636363,100,False
9,12,0.032299723476171494,31.439325395059996,1.2895027334035323,1240.9578313253012,100,False
9,13,0.01665002480149269,8.074108145712378,1.3496233890018356,421.76691729323306,100,False
9,14,0.024926407262682915,6.506894178741529,1.3896193629003566,409.9810126582278,100,False
9,15,0.015669383108615875,6.759634296893731,1.4333174936679156,390.40425531914894,100,False
9,16,0.02463582716882229,22.86556062477381,1.2522864266794171,1526.716535433071,100,False
9,17,0.028367970138788223,5.436958920316045,1.3691648965938579,125.24524604765087,100,False
9,18,0.010657008737325668,27.539127687289255,1.3373788327550362,1972.8172043010754,100,False
9,19,0.021648410707712173,20.167788902540753,1.2916254042721187,1421.872549019608,100,False
9,20,0.013653237372636795,2.9099149875944583,1.3454788006430354,37.00463877598977,100,False
9,21,0.021467842161655426,10.3809635335483,1.317154778118442,417.7552637601556,100,False
9,22,0.040694836527109146,127.86346367364116,1.2626146093819153,5714.618421052632,100,False
9,23,0.031302325427532196,3.149074691118684,1.2847613221606842,66.95691747572816,39,False
10,0,0.0407266691327095,17.507188606765876,1.4821796014015032,1123.214099799212,100,False
10,1,0.020595267415046692,16.927745141003825,1.3285650177935007,850.0896885069817,100,False
10,2,0.027794141322374344,19.5349625297141,1.3926058373431944,706.5,100,False
10,3,0.02412281185388565,23.434370662660754,1.3299453165087216,1966.9772727272727,100,False
10,4,0.02316785603761673,6.778651134160482,1.1837457389870343,253.55555555555557,100,False
10,5,0.041315946727991104,5.300947257253742,1.261207089093548,270.25,100,False
10,6,0.02236635610461235,23.954361704942603,1.4540441176470589,1680.6249999999998,100,False
10,7,0.018131837248802185,8.13480773108148,1.3659585646496977,117.95747679045093,100,False
10,8,0.02153042145073414,4.432003993600888,1.2358992496062207,187.29526627218937,100,False
10,9,0.013064419850707054,30.63960465550753,1.2349338979158921,1628.375,100,False
10,10,0.0,2.290246000877155,1.195413282083408,50.707317073170735,100,True
10,11,0.01912846975028515,43.358253512744504,1.3878592532903573,2117.7043010752686,100,False
